x,y
464936.4409921063,3971482.07442162
464936.26740493893,3971482.0437555327
464935.84219271585,3971482.148614539
464935.23337803676,3971482.2099172743
464934.6419615436,3971482.2671927437
464934.22238513565,3971482.3604759257
464933.53488733276,3971482.4150903774
464932.8463275945,3971482.411710497
464932.06466355285,3971482.509756946
464931.2661068286,3971482.600931964
464930.3696114405,3971482.658783177
464929.4954114322,3971482.7383100586
464928.5873902955,3971482.8346362207
464927.71227013686,3971482.956661177
464926.78329956834,3971483.0311989184
464925.8131580061,3971483.1291163214
464924.81106258754,3971483.235937473
464923.8639638088,3971483.3515820396
464922.97834838904,3971483.4379779836
464921.9988222473,3971483.567798213
464921.01352572156,3971483.6746129068
464920.0276375183,3971483.7663477976
464919.0541994576,3971483.841973092
464918.14776409743,3971483.899172536
464917.2042186737,3971483.9974067397
464916.2279656668,3971484.1119956225
464915.2255065195,3971484.218872662
464914.1298299436,3971484.235108411
464913.03579843504,3971484.2970107803
464911.91658434324,3971484.350411515
464910.89909421594,3971484.4787099585
464909.85124793986,3971484.6346714552
464908.81994682114,3971484.7816138887
464907.7413008708,3971484.933432974
464906.6487605145,3971485.014750808
464905.4772924915,3971485.12048222
464904.44443276356,3971485.258213598
464903.290754366,3971485.408517995
464902.2061211339,3971485.496390308
464901.0840125459,3971485.615835977
464899.9982120264,3971485.733626926
464898.9593927367,3971485.8395823836
464897.9231876218,3971485.9222043986
464896.89412878355,3971486.0341062658
464895.8566277062,3971486.1561130737
464894.55658651754,3971486.4134572484
464893.4994811573,3971486.5427236874
464892.49524145975,3971486.610235746
464891.5203552973,3971486.7254696614
464890.59564424993,3971486.8275026325
464889.6344383794,3971486.9373323987
464888.58479541435,3971487.099433701
464887.55407070747,3971487.2572213085
464886.5055636129,3971487.395084948
464885.49452397675,3971487.513603774
464884.4746147348,3971487.6573548494
464883.4627863495,3971487.8368662396
464882.43133452383,3971487.943984743
464881.3308841351,3971488.050546127
464880.36405729165,3971488.186172216
464879.3798287841,3971488.3172978065
